PartitionKey,RowKey,NotificationChannels,NotificationChannels@type,RecipientEmail,RecipientEmail@type,TeamsGroup,TeamsGroup@type
AuthScanning,AUTH-01,"Email,TeamsCard",String,,String,,String
AuthScanning,AUTH-02,"Email,TeamsCard",String,,String,,String
AuthScanning,AUTH-03,"Email,TeamsCard",String,,String,,String
AuthScanning,AUTH-04,"Email,TeamsCard",String,,String,,String
AuthScanning,AUTH-05,"Email,TeamsCard",String,,String,,String
AuthScanning,AUTH-06,"Email,TeamsCard",String,,String,,String
AuthScanning,AUTH-07,"Email,TeamsCard",String,,String,,String
AuthScanning,AUTH-08,"Email,TeamsCard",String,,String,,String
AuthScanning,AUTH-09,"Email,TeamsCard",String,,String,,String
CMDB-Upload-Reminder,CMDB-01,"Email,TeamsCard",String,,String,,String
IVM-Remediation,REME-01,"Email,TeamsCard",String,,String,,String
IVM-WeeklySchedule,REME-02,"Email,TeamsCard",String,,String,,String
Remediation,REME-04,"Email,TeamsCard",String,,String,,String
Remediation,REME-05,"Email,TeamsCard",String,,String,,String
Remediation-ValueStream,REME-03,"Email,TeamsCard",String,,String,,String
Reporting,REPORT-01,"Email,TeamsCard",String,,String,,String
Reporting-DataCollection,REPORT-05,"Email,TeamsCard",String,,String,,String
ScopeTriaging-Report,REPORT-02,"Email,TeamsCard",String,,String,,String
ScopeTriaging-Report,REPORT-04,"Email,TeamsCard",String,,String,,String
ScopeTriaging-Report,REPORT-06,"Email,TeamsCard",String,,String,,String
ScopeValidate-Report,REPORT-03,"Email,TeamsCard",String,,String,,String
ScopeValidate-Report,REPORT-07,"Email,TeamsCard",String,,String,,String
Scoping,SCOP-05,"Email,TeamsCard",String,,String,,String
ScopingAssetGroupError,SCOP-03,"Email,TeamsCard",String,,String,,String
ScopingAssetGroupError,SCOP-04,"Email,TeamsCard",String,,String,,String
ScopingDataRetrieval,SCOP-01,"Email,TeamsCard",String,,String,,String
ScopingDataRetrieval,SCOP-02,"Email,TeamsCard",String,,String,,String
VulnScan-CHGApproval,VULN-08,"Email,TeamsCard",String,,String,,String
Vulnerability-Scan,VULN-01,"Email,TeamsCard",String,,String,,String
Vulnerability-Scan,VULN-02,"Email,TeamsCard",String,,String,,String
Vulnerability-Scan,VULN-03,"Email,TeamsCard",String,,String,,String
Vulnerability-Scan,VULN-04,"Email,TeamsCard",String,,String,,String
Vulnerability-Scan,VULN-05,"Email,TeamsCard",String,,String,,String
Vulnerability-Scan,VULN-06,"Email,TeamsCard",String,,String,,String
Vulnerability-Scan,VULN-07,"Email,TeamsCard",String,,String,,String
